id;name;capital;capital_currency;capital_share;capital_share_perc;source;source_link;source_date;children;parents;parent;type
99;„Siege“ Siedlungsgesellschaft für das Verkehrspersonal mbH Mainz;11488000;EUR;581000;5,06;Beteiligungsbericht des Bundes 2015;https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Bundesvermoegen/Privatisierungs_und_Beteiligungspolitik/Beteiligungspolitik/Beteiligungsberichte/beteiligungsbericht-des-bundes-2015.pdf?__blob=publicationFile&v=103;31.12.2014;;1;;
163;ABBAG – Abbaubeteiligungsaktiengesellschaft des Bundes;70000;EUR;;;Ausgliederungen und Beteiligungen des Bundes 2015;https://www.bmf.gv.at/budget/das-budget/Ausgliederungen_und_Beteiligungen_des_Bundes_Oktober_2015.pdf?5i7zdn;31.10.2015;;110;;
170;Agentur für Qualitätssicherung und Akkreditierung Austria;;EUR;;;Ausgliederungen und Beteiligungen des Bundes 2015;https://www.bmf.gv.at/budget/das-budget/Ausgliederungen_und_Beteiligungen_des_Bundes_Oktober_2015.pdf?5i7zdn;31.10.2015;;110;;
130;AIT Austrian Institute of Technology GmbH (Konzern);471000;EUR;;;Ausgliederungen und Beteiligungen des Bundes 2015;https://www.bmf.gv.at/budget/das-budget/Ausgliederungen_und_Beteiligungen_des_Bundes_Oktober_2015.pdf?5i7zdn;31.10.2015;;110;;
183;AMEROPA-REISEN GmbH, Bad Homburg v.d.H.;2557000;EUR;2557000;99,95;Beteiligungsbericht des Bundes 2015;https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Bundesvermoegen/Privatisierungs_und_Beteiligungspolitik/Beteiligungspolitik/Beteiligungsberichte/beteiligungsbericht-des-bundes-2015.pdf?__blob=publicationFile&v=6;31.12.2014;;;Arriva Europe GmbH, Berlin ;Veranstaltung von Reisen, insbeson- dere in Verbindung mit Bahnreisen
184;APS (Leasing) Ltd, Sunderland/Großbritan nien ;200;GBP;200;99,9;Beteiligungsbericht des Bundes 2015;https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Bundesvermoegen/Privatisierungs_und_Beteiligungspolitik/Beteiligungspolitik/Beteiligungsberichte/beteiligungsbericht-des-bundes-2015.pdf?__blob=publicationFile&v=6;31.12.2014;;;DB Mobility Logistics AG ;Mantelgesellschaft
186;Arriva (2007) Limited, Sunderland/Großbritan nien ;154988501;GBP;154988500;99,69;Beteiligungsbericht des Bundes 2015;https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Bundesvermoegen/Privatisierungs_und_Beteiligungspolitik/Beteiligungspolitik/Beteiligungsberichte/beteiligungsbericht-des-bundes-2015.pdf?__blob=publicationFile&v=6;31.12.2014;;;Arriva Hrvatska d.o.o., Osijek ;Holding- gesellschaft
187;Arriva Abbey Line Limited, Sunderland ;10000000;GBP;10000000;99,62;Beteiligungsbericht des Bundes 2015;https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Bundesvermoegen/Privatisierungs_und_Beteiligungspolitik/Beteiligungspolitik/Beteiligungsberichte/beteiligungsbericht-des-bundes-2015.pdf?__blob=publicationFile&v=6;31.12.2014;;;DB Polska Holding Sp.z.o.o., Zabrze ;Holding- gesellschaft
188;Arriva Achterhoek – Rivierenland BV, Heerenveen ;90;EUR;90;995,799;Beteiligungsbericht des Bundes 2015;https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Bundesvermoegen/Privatisierungs_und_Beteiligungspolitik/Beteiligungspolitik/Beteiligungsberichte/beteiligungsbericht-des-bundes-2015.pdf?__blob=publicationFile&v=6;31.12.2014;;;Arriva Bus Transport Polska Sp. z o.o., Warschau ;Personenverkehr
189;Arriva Beheer NV, Heerenveen ;100;EUR;100;994,59;Beteiligungsbericht des Bundes 2015;https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Bundesvermoegen/Privatisierungs_und_Beteiligungspolitik/Beteiligungspolitik/Beteiligungsberichte/beteiligungsbericht-des-bundes-2015.pdf?__blob=publicationFile&v=6;31.12.2014;;;Schenker & Co. AG, Wien ;Verwaltung von Anlagevermögen
