1,"“Scanspol” Sp.zo.o.,",Transport &,577.600,577.600,100,Schenker Sp.z
,Warschau/Polen,Logistik,PLN,PLN,,"o.o.,Warschau"
,,,,,,
2,"“Steig ein” GmbH i.L.,",Durchführung von,60.000,20.000,"33,33",Regionalverkehr
,Kempten,Omnibusfahrten,,,,"Allgäu GmbH (RVA),"
,,"für Linien-, Miet-",,,,Oberstdorf
,,und Ausflugs-,,,,
,,wagenverkehr,,,,
,,,,,,
3,A & T Motor Retailing,Verkauf von,1.505.000,1.505.000,100,Broadwood Finance
,"Limited,",Fahrzeugen,GBP,GBP,,"Company Limited,"
,Sunderland/Großbritan,,,,,Sunderland
,nien,,,,,
,,,,,,
4,"Airen Sostenible S.L.,",Sonstiges,309.000,206.000,"66,67",FMS-WM
,Barakaldo,Grundstücks-,,,,
,,wesen,,,,
,,,,,,
5,Air Navigation Solutions,Erbringung von,5.000.000,5.000.000,100,The Tower Company
,"Limited, London,",Flugsicherungsleis,GBP,GBP,,"GmbH, Langen"
,Großbritannien,tungen am,,,,
,,Flughafen London,,,,
,,Gatwick,,,,
,,,,,,
6,Alliance Rail Holdings,Bietergesellschaft,100.000500.001,75.100500.001,"75,1100",Arriva UK Trains
,"Ltd, YorkSunderland/",,GBP,GBP,,"Limited, Sunderland"
,Großbritannien,,,,,
,,,,,,
7,AMEROPA-REISEN,Veranstaltung von,2.557.000,2.557.000,100,DB Fernverkehr
,"GmbH, Bad Homburg","Reisen, insbeson-",,,,"Aktiengesellschaft,"
,v.d.H. 1)3),dere in,,,,Frankfurt/Main
,,Verbindung mit,,,,
,,Bahnreisen,,,,
,,,,,,
8,"APS (Leasing) Ltd,",Mantelgesellschaft,200.000,200.000,100,Arriva (2007)
,Sunderland/Großbritan,,GBP,GBP,,"Limited, Sunderland"
,nien,,,,,
,,,,,,
9,"Aquabus BV,",Personenverkehr,250.000,125.000,50,Arriva
,Heerenveen/,sowie Transport &,,,,Personenvervoer
,Niederlande,Logistik,,,,"Nederland BV,"
,,,,,,Heerenveen
,,,,,,
10,"Arriva (2007) Limited,",Holding-,154.988.501,154.988.500,100100,Arriva Passenger
,Sunderland/Großbritan,gesellschaft,160.000.000,160.000.000,,"Services Limited,"
,nien,,GBP,GBP,,Sunderland
,,,,,0,
,,,,,,"Arriva Plc,"
,,,,1 GBP,,Sunderland
,,,,,,
11,Arriva Abbey Line,Holding-,10.000.000,10.000.000,100,Arriva Passenger
,"Limited, Sunderland",gesellschaft,GBP,GBP,,"Services Limited,"
,,,,,,Sunderland
12,Arriva Achterhoek –,Personenverkehr,90.000,90.000,100,Arriva
,"Rivierenland BV,",,,,,Personenvervoer
,Heerenveen,,,,,"Nederland BV,"
,,,,,,Heerenveen
,,,,,,
13,"Arriva Beheer NV,",Verwaltung von,100.000,100.000,100,Arriva
,Heerenveen,Anlagevermögen,,,,Personenvervoer
,,,,,,"Nederland BV,"
,,,,,,Heerenveen
,,,,,,
14,"Arriva Brabant BV,",Personenverkehr,90.000,90.000,100,Arriva
,Heerenveen,,,,,Personenvervoer
,,,,,,"Nederland BV,"
,,,,,,Heerenveen
,,,,,,
15,Arriva Bus & Coach,Mantelgesellschaft,30.000.00010.34,30.000.00010.34,100,Arriva Findiv (2007)
,"Holdings Limited,",,3.564,3.564,,"Limited, Sunderland"
,Sunderland/Großbritan,,GBP,GBP,,
,nien,,,,,
,,,,,,
16,Arriva Bus and Coach,Finanzierungsges,100.000,100.000,100,Arriva Bus & Coach
,"Finance Ltd,",ellschaft für,GBP,GBP,,"Holdings Limited,"
,Sunderland,Fahrzeuge,,,,Sunderland
,,,,,,
17,Arriva Bus and &,Verkauf von,100.000 159.603,100.000 159.603,100,Arriva Bus & Coach
,"Coach Ltd, Sunderland/",Fahrzeugen,GBP,GBP,,"Holdings Limited,"
,Großbritannien,,,,,Sunderland
,,,,,,
18,Arriva Bus and &,Anmietung von,100.000,100.000,100,Arriva Bus & Coach
,"Coach Rental (4) Ltd,",Bussen und,GBP,GBP,,"Holdings Limited,"
,Sunderland/,Wagen,,,,Sunderland
,Großbritannien,,,,,
,,,,,,
19,Arriva Bus Transport,Management-,7597.000.000,7597.000.000,100,Arriva Europe
,"Polska Sp. z o.o.,",gesellschaft,PLN,PLN,,"GmbH, Berlin"
,Warschau/Polen,,,,,
,,,,,,
20,"Arriva Busfleet NV,",Personenverkehr,3.403.352,3.403.352,100,Arriva
,Heerenveen,,,,,Personenvervoer
,,,,,,"Nederland BV,"
,,,,,,Heerenveen
,,,,,,
21,Arriva Colchester,Personenverkehr,865.565,865.565,100,Arriva (2007)
,"Limited, Sunderland/",,GBP,GBP,,"Limited, Sunderland"
,Großbritannien,,,,,
,,,,,,
22,"Arriva Coöperatie W.A.,",Holding-,649.515.737562.,324.757.869281.,50,Arriva International
,Heerenveen/,gesellschaft,056.737,"028.368,5",,(Northern Europe)
,Niederlande,,,,,"Limited, Sunderland"
,,,,,,Arriva International
,,,,,,(Southern Europe)
,,,,,50,"Limited, Sunderland"
,,,,324.757.869281.,,
,,,,"028.368,5",,
23,"Arriva CR s.r.o.,",,36.500.000 CZK,36.500.000,100,Arriva Transport
,Prag/Tschechien,,,CZK,,Ceska Republika
,,,,,,"a.s., Prag"
,,,,,,
24,"Arriva Crossrail Limited,",Holding-,10.000.000 GBP,10.000.000,100,Arriva (2007)
,Sunderland/,gesellschaft,,GBP,,"Limited, Sunderland"
,Großbritannien,,,,,
25,Arriva Croydon & North,Personenverkehr,363.394,363.394,100,Arriva (2007)
,"Surrey Limited,",,GBP,GBP,,"Limited, Sunderland"
,Sunderland/,,,,,
,Großbritannien,,,,,
,,,,,,
26,"Arriva Cymru Limited,",Personenverkehr,1.400.000,1.400.000,100,Arriva (2007)
,Sunderland/,,GBP,GBP,,"Limited, Sunderland"
,Großbritannien,,,,,
,,,,,,
27,"Arriva Danmark A/S,",Personenverkehr,140.003.000,140.003.000,100,Arriva Coöperatie
,Kastrup/Dänemark,(Bus und Schiene),DKK,DKK,,"W.A., Heerenveen"
,,,,,,
28,"Arriva DAV BV,",Personenverkehr,90.000,90.000,100,Arriva
,Heerenveen,,,,,Personenvervoer
,,,,,,"Nederland BV,"
,,,,,,Heerenveen
,,,,,,
29,"Arriva Derby Limited,",Personenverkehr,6.000.000,6.000.000,100,Arriva (2007)
,Sunderland/,,GBP,GBP,,"Limited, Sunderland"
,Großbritannien,,,,,
,,,,,,
30,"Arriva DLR Limited,",Personenverkehr,10.000.000 GBP,10.000.000,100,Arriva UK Trains
,Sunderland,,,GBP,,"Limited, Sunderland"
,,,,,,
