id;name;object;capital;capital_currency;capital_share;capital_share_perc;source;source_link;source_date;parent
183;AMEROPA-REISEN GmbH, Bad Homburg v.d.H. 1)3) ;Veranstaltung von Reisen, insbeson- dere in Verbindung mit Bahnreisen ;2.557.000;EUR;2.557.000;99.95;Beteiligungsbericht des Bundes 2015;https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Bundesvermoegen/Privatisierungs_und_Beteiligungspolitik/Beteiligungspolitik/Beteiligungsberichte/beteiligungsbericht-des-bundes-2015.pdf?__blob=publicationFile&v=6;2014-12-31;Arriva Europe GmbH, Berlin 
184;APS (Leasing) Ltd, Sunderland/Großbritan nien ;Mantelgesellschaft ;200;GBP;200;99.9;Beteiligungsbericht des Bundes 2015;https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Bundesvermoegen/Privatisierungs_und_Beteiligungspolitik/Beteiligungspolitik/Beteiligungsberichte/beteiligungsbericht-des-bundes-2015.pdf?__blob=publicationFile&v=6;2014-12-31;DB Mobility Logistics AG 
186;Arriva (2007) Limited, Sunderland/Großbritan nien ;Holding- gesellschaft ;154.988.501;GBP;154.988.500;99.69;Beteiligungsbericht des Bundes 2015;https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Bundesvermoegen/Privatisierungs_und_Beteiligungspolitik/Beteiligungspolitik/Beteiligungsberichte/beteiligungsbericht-des-bundes-2015.pdf?__blob=publicationFile&v=6;2014-12-31;Arriva Hrvatska d.o.o., Osijek 
187;Arriva Abbey Line Limited, Sunderland ;Holding- gesellschaft ;10.000.000;GBP;10.000.000;99.62;Beteiligungsbericht des Bundes 2015;https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Bundesvermoegen/Privatisierungs_und_Beteiligungspolitik/Beteiligungspolitik/Beteiligungsberichte/beteiligungsbericht-des-bundes-2015.pdf?__blob=publicationFile&v=6;2014-12-31;DB Polska Holding Sp.z.o.o., Zabrze 
188;Arriva Achterhoek – Rivierenland BV, Heerenveen ;Personenverkehr ;90;EUR;90;99.5799 ;Beteiligungsbericht des Bundes 2015;https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Bundesvermoegen/Privatisierungs_und_Beteiligungspolitik/Beteiligungspolitik/Beteiligungsberichte/beteiligungsbericht-des-bundes-2015.pdf?__blob=publicationFile&v=6;2014-12-31;Arriva Bus Transport Polska Sp. z o.o., Warschau 
189;Arriva Beheer NV, Heerenveen ;Verwaltung von Anlagevermögen ;100;EUR;100;99.4590;Beteiligungsbericht des Bundes 2015;https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Bundesvermoegen/Privatisierungs_und_Beteiligungspolitik/Beteiligungspolitik/Beteiligungsberichte/beteiligungsbericht-des-bundes-2015.pdf?__blob=publicationFile&v=6;2014-12-31;Schenker & Co. AG, Wien 
194;Arriva Bus and & Coach Rental (4) Ltd, Sunderland/ Großbritannien ;Anmietung von Bussen und Wagen ;100;GBP;100;96.8;Beteiligungsbericht des Bundes 2015;https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Bundesvermoegen/Privatisierungs_und_Beteiligungspolitik/Beteiligungspolitik/Beteiligungsberichte/beteiligungsbericht-des-bundes-2015.pdf?__blob=publicationFile&v=6;2014-12-31;DB Schenker Rail Polska S.A., Zabrze 
196;Arriva Busfleet NV, Heerenveen ;Personenverkehr ;3.403.352;EUR;3.403.352;94 6 ;Beteiligungsbericht des Bundes 2015;https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Bundesvermoegen/Privatisierungs_und_Beteiligungspolitik/Beteiligungspolitik/Beteiligungsberichte/beteiligungsbericht-des-bundes-2015.pdf?__blob=publicationFile&v=6;2014-12-31;Deutsche Pfandbriefbank AG, München Immo Invest Real Estate GmbH, München 
203;Arriva Danmark A/S, Kastrup/Dänemark ;Personenverkehr (Bus und Schiene) ;140.003.000;DKK;140.003.000;85 15 ;Beteiligungsbericht des Bundes 2015;https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Bundesvermoegen/Privatisierungs_und_Beteiligungspolitik/Beteiligungspolitik/Beteiligungsberichte/beteiligungsbericht-des-bundes-2015.pdf?__blob=publicationFile&v=6;2014-12-31;Schenker Aktiengesellschaft, Essen Stinnes Handel GmbH & Co. Beteiligungs OHG Mülheim/Ruhr 
204;Arriva DAV BV, Heerenveen ;Personenverkehr ;90;EUR;90;84.42;Beteiligungsbericht des Bundes 2015;https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Bundesvermoegen/Privatisierungs_und_Beteiligungspolitik/Beteiligungspolitik/Beteiligungsberichte/beteiligungsbericht-des-bundes-2015.pdf?__blob=publicationFile&v=6;2014-12-31;Transportes Ferroviarios Especiales S.A., Madrid 
205;Arriva Derby Limited, Sunderland/ Großbritannien ;Personenverkehr ;6.000.000;GBP;6.000.000;84.31;Beteiligungsbericht des Bundes 2015;https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Bundesvermoegen/Privatisierungs_und_Beteiligungspolitik/Beteiligungspolitik/Beteiligungsberichte/beteiligungsbericht-des-bundes-2015.pdf?__blob=publicationFile&v=6;2014-12-31;Kreditanstalt für Wiederaufbau (KfW), Frankfurt/Main 
